name,x,y
Albania,17,-209
Austria,-49,-124
Belarus,58,-11
Belgium,-136,-79
Bosnia and Herzegovina,-12,-166
Bulgaria,65,-173
Croatia,-24,-145
Cyprus,172,-259
Czech Republic,-45,-90
Denmark,-95,-4
Estonia,25,44
Finland,15,109
France,-166,-128
Germany,-87,-68
Greece,40,-220
Hungary,-4,-124
Iceland,-253,150
Ireland,-234,-21
Italy,-71,-178
Latvia,29,22
Liechtenstein,-88,-128
Lithuania,24,-3
Luxembourg,-122,-93
Macedonia,330,-194
Malta,-39,-282
Moldova,86,-103
Monaco,-116,-176
Montenegro,6,-184
Netherlands,-125,-61
Norway,-94,71
Poland,-14,-48
Portugal,-280,-202
Russia,172,130
Romania,60,-129
Serbia,20,-158
Slovakia,5,-99
Slovenia,-45,-146
Spain,-233,-200
Sweden,-52,66
Switzerland,-104,-131
Ukraine,102,-62
Vatican City,-178,-167
